Guinea,"193,140","46,366","239,506","210,085","40,666","250,751","272,404","50,539","322,943"
Guinea-Bissau,"1,140",183,"1,323",571,228,799,"1,000",355,"1,355"
Guyana,"1,537","1,766","3,303","1,323","1,543","2,866","1,578","1,822","3,400"
Honduras,"8,526","10,901","19,427","6,141","8,139","14,280","10,950","12,962","23,912"
"Hong Kong Special Administrative
Region","14,144","10,978","25,122","6,051","5,069","11,120","8,022","6,577","14,599"
Hungary,"11,215","10,285","21,500","11,421","10,101","21,522","11,645","10,286","21,931"
Iceland,"1,215","1,361","2,576","1,122","1,136","2,258","1,024",880,"1,904"
Indonesia,"12,499","14,675","27,174","13,133","14,673","27,806","13,205","14,867","28,072"
Iran,"641,696","561,835","1,203,531","737,181","653,672","1,390,853","849,869","774,335","1,624,204"
Iraq,"18,482","28,962","47,444","31,132","45,162","76,294","62,805","82,905","145,710"
Ireland,"7,443","3,892","11,335","6,770","3,335","10,105","6,464","3,330","9,794"
Israel,"12,805","16,705","29,510","14,094","18,658","32,752","16,535","20,608","37,143"
Italy,"36,994","23,220","60,214","37,335","23,264","60,599","37,691","23,214","60,905"
Japan,"29,211","22,938","52,149","28,098","22,115","50,213","28,595","22,055","50,650"
Jordan,"27,881","44,557","72,438","23,949","39,378","63,327","37,754","57,314","95,068"
Kazakhstan,"22,000","26,136","48,136","27,661","32,973","60,634","41,990","51,416","93,406"
Kenya,"209,764","94,929","304,693","249,397","110,626","360,023","317,029","125,937","442,966"
Kiribati,62,65,127,79,77,156,98,101,199
"Korea, North",108,121,229,127,81,208,148,94,242
Kosovo,"15,261","16,614","31,875","22,983","23,681","46,664","26,411","25,408","51,819"
Kuwait,"8,301","15,358","23,659","8,436","15,588","24,024","10,580","19,374","29,954"
Kyrgyzstan,"14,442","16,872","31,314","19,698","23,666","43,364","32,613","39,737","72,350"
Laos,294,311,605,282,319,601,288,270,558
Latvia,"3,845","3,459","7,304","3,899","3,641","7,540","4,421","4,302","8,723"
Lebanon,"15,304","25,298","40,602","17,245","25,249","42,494","15,670","25,332","41,002"
Lesotho,423,236,659,299,133,432,272,235,507
Liberia,"408,041","253,590","661,631","499,010","175,926","674,936","512,128","174,741","686,869"
Libya,"10,346","15,292","25,638","16,672","23,170","39,842","21,427","28,441","49,868"
Liechtenstein,49,32,81,65,37,102,49,17,66
Lithuania,"10,736","9,718","20,454","15,361","14,114","29,475","16,175","14,491","30,666"
Luxembourg,344,239,583,328,205,533,333,173,506
Macau S.A.R.,"1,336",675,"2,011",N/A,N/A,N/A,613,284,897
Macedonia,"16,685","15,567","32,252","21,876","21,304","43,180","23,845","23,383","47,228"
Madagascar,"2,736","3,259","5,995","2,538","3,020","5,558","2,210","2,580","4,790"
Malawi,"1,030",985,"2,015","1,124","1,077","2,201","1,332","1,328","2,660"
Malaysia,"7,221","6,820","14,041","7,596","7,123","14,719","7,716","6,903","14,619"
Maldives,191,226,417,149,154,303,200,203,403
Mali,"7,975","3,076","11,051","9,527","3,656","13,183","11,363","5,609","16,972"
Malta,308,252,560,275,225,500,269,178,447
Mauritania,"1,919",971,"2,890","3,414","1,697","5,111","4,940","2,324","7,264"
Mauritius,"1,878","1,880","3,758","2,024","1,975","3,999","1,373","1,388","2,761"
Mayotte,8,10,18,-,-,-,-,-,-
Moldova,"144,569","85,489","230,058","154,453","97,727","252,180","315,488","125,375","440,863"
Monaco,85,44,129,118,38,156,127,47,174
Mongolia,"10,406","15,607","26,013","14,429","22,926","37,355","13,142","21,646","34,788"
Montenegro,"1,199",929,"2,128","1,780","1,412","3,192","2,330","1,504","3,834"
Morocco,"160,234","41,730","201,964","227,471","58,950","286,421","231,792","61,916","293,708"
Mozambique,384,472,856,428,502,930,439,456,895
Namibia,547,522,"1,069",545,530,"1,075",497,539,"1,036"
Nauru,153,83,236,120,56,176,116,53,169
Nepal,"664,854","426,026","1,090,880","692,137","444,485","1,136,622","728,718","458,632","1,187,350"
Netherlands,"6,203","5,372","11,575","6,216","5,322","11,538","6,064","5,103","11,167"
New Caledonia,121,98,219,112,96,208,127,95,222
New Zealand,"4,498","2,272","6,770","4,551","2,328","6,879","4,442","2,139","6,581"
Nicaragua,"4,918","5,214","10,132","2,337","2,706","5,043","3,354","3,835","7,189"
Niger,"13,804","2,423","16,227","9,065","4,017","13,082","10,996","5,652","16,648"
Niue,11,8,19,15,7,22,38,10,48
Norfolk Island,20,14,34,30,9,39,12,6,18
Northern Ireland,"1,479",984,"2,463","1,368",935,"2,303","1,246",831,"2,077"
Norway,"2,389","1,829","4,218","2,715","1,622","4,337","2,220","1,565","3,785"
Oman,757,708,"1,465",915,876,"1,791","1,132","1,017","2,149"
Panama,"1,137","1,046","2,183","1,106","1,082","2,188","1,435","1,277","2,712"
Papua New Guinea,160,187,347,164,168,332,159,196,355
Paraguay,626,516,"1,142",553,496,"1,049",722,611,"1,333"
Poland,"41,904","38,152","80,056","38,425","34,856","73,281","41,365","37,637","79,002"
Portugal,"3,076","2,864","5,940","3,226","2,829","6,055","3,230","2,917","6,147"
Qatar,"2,538","3,238","5,776","3,252","4,129","7,381","3,869","4,859","8,728"
Republic Of Palau,34,37,71,38,27,65,54,25,79
Republic Of The Marshall Islands,12,5,17,5,6,11,21,14,35
Romania,"36,303","36,924","73,227","33,693","33,885","67,578","47,883","31,700","79,583"
Russia,"133,095","141,651","274,746","161,107","170,962","332,069","211,372","222,981","434,353"
Rwanda,"29,791","19,265","49,056","30,408","21,703","52,111","40,644","27,031","67,675"
Saint Martin,139,27,166,99,44,143,90,35,125
Samoa,178,243,421,95,119,214,126,182,308
San Marino,24,12,36,27,11,38,39,27,66
Sao Tome and Principe,243,47,290,45,35,80,49,38,87
Saudi Arabia,"26,755","32,137","58,892","31,699","34,214","65,913","47,512","45,548","93,060"
Senegal,"38,230","7,973","46,203","50,810","11,391","62,201","49,697","10,615","60,312"
Serbia,"24,286","18,774","43,060","28,177","22,003","50,180","29,884","23,729","53,613"
Seychelles,212,124,336,144,94,238,195,94,289
Sierra Leone,"575,457","36,526","611,983","807,065","34,623","841,688","967,062","44,663","1,011,725"
Singapore,"3,331","3,054","6,385","3,285","2,714","5,999","3,505","2,648","6,153"
Sint Maarten,114,97,211,105,82,187,136,74,210
Slovakia,"5,526","3,562","9,088","5,302","3,550","8,852","5,197","3,491","8,688"
Slovenia,"1,024",768,"1,792","1,006",747,"1,753",974,687,"1,661"
Solomon Islands,65,18,83,59,10,69,92,42,134
Somalia,"21,554","6,833","28,387","26,815","8,584","35,399","45,974","14,605","60,579"
South Africa,"27,124","34,938","62,062","28,518","38,210","66,728","28,775","38,569","67,344"
South Sudan,"1,624","1,070","2,694","1,935","1,238","3,173","2,463","1,769","4,232"
Spain,"17,549","12,729","30,278","16,095","12,012","28,107","16,185","11,622","27,807"
Sri Lanka,"57,409","59,264","116,673","51,899","53,082","104,981","69,877","69,650","139,527"
St. Barthelemy,11,10,21,15,7,22,28,11,39
St. Kitts and Nevis,329,280,609,286,231,517,253,186,439
St. Lucia,938,774,"1,712","1,021",784,"1,805",828,667,"1,495"
St. Pierre and Miquelon,8,9,17,15,7,22,10,16,26
St. Vincent and the Grenadines,550,451,"1,001",398,328,726,449,337,786
Sudan,"197,631","142,761","340,392","259,726","191,697","451,423","286,351","217,961","504,312"
Suriname,453,483,936,520,553,"1,073",644,679,"1,323"
Svalbard,16,13,29,24,19,43,39,25,64
Swaziland,284,150,434,232,147,379,280,181,461
Sweden,"7,671","5,573","13,244","7,536","5,582","13,118","7,083","5,114","12,197"
Switzerland,"7,608","5,320","12,928","7,277","5,089","12,366","6,895","4,751","11,646"
Syria,"30,413","48,681","79,094","32,484","51,344","83,828","30,807","49,359","80,166"
Taiwan,"32,777","25,406","58,183","30,763","25,062","55,825","32,875","25,997","58,872"
Tajikistan,"16,276","22,918","39,194","28,109","42,230","70,339","47,635","74,543","122,178"
Tanzania,"6,369","5,555","11,924","6,919","6,166","13,085","7,539","6,637","14,176"
Thailand,"9,444","4,151","13,595","9,706","4,027","13,733","8,787","4,174","12,961"
The Gambia,"4,022","2,744","6,766","4,369","2,410","6,779","5,760","3,208","8,968"
Timor-Leste,45,40,85,50,36,86,97,82,179
Togo,"135,742","31,404","167,146","152,521","34,087","186,608","218,117","50,077","268,194"
Tokelau,24,7,31,28,14,42,31,6,37
Tonga,678,"1,024","1,702",603,886,"1,489",661,"1,024","1,685"
Trinidad and Tobago,"6,108","6,480","12,588","4,478","4,673","9,151","5,550","5,718","11,268"
Tunisia,"15,385","8,148","23,533","15,280","9,166","24,446","15,608","9,979","25,587"
Turkey,"137,146","108,347","245,493","170,370","145,856","316,226","204,729","202,200","406,929"
Turkmenistan,"6,010","6,949","12,959","7,963","9,646","17,609","12,598","17,068","29,666"
Tuvalu,23,43,66,9,8,17,10,16,26
Uganda,"25,790","15,722","41,512","28,377","17,950","46,327","32,457","21,510","53,967"
Ukraine,"890,039","401,960","1,291,999","970,193","500,057","1,470,250","953,323","497,164","1,450,487"
United Arab Emirates,"9,629","10,300","19,929","11,018","12,312","23,330","13,282","14,949","28,231"
Uruguay,"1,524","1,411","2,935","1,964","1,699","3,663","1,557","1,502","3,059"
Uzbekistan,"946,212","542,772","1,488,984","876,875","699,304","1,576,179","1,232,938","881,508","2,114,446"
Vanuatu,57,70,127,70,61,131,90,111,201
Vatican City,24,20,44,28,26,54,46,38,84
Venezuela,"110,579","148,342","258,921","137,509","175,619","313,128","158,450","202,349","360,799"
Wallis and Futuna,14,12,26,12,18,30,15,12,27
Western Sahara,45,22,67,68,14,82,70,15,85
Yemen,"92,709","43,689","136,398","108,549","64,193","172,742","171,033","93,486","264,519"
Zambia,"2,541","2,820","5,361","2,715","2,750","5,465","4,067","3,326","7,393"
Zimbabwe,"6,235","6,930","13,165","7,752","8,254","16,006","9,260","10,148","19,408"
Grand Total,"11,391,146","6,182,218","17,573,364","12,437,190","6,907,396","19,344,586","14,692,258","8,396,355","23,088,613"
